package_id,token,decoded_name,table_index,rel,packed,sectors,peimg_lba_range,size,sha256,compression,decoded_structure,consumer,writer,confidence,notes
ce2_14_clip_ptr_CDE0,CE2=14,,idB=17,0xCDE0,,,"[1409,1441)",2172,06cf3147bf51452033259598504c036a410f87b3c7e6be7227dc6c6ee573260d,none,clip enc=1 bones-1=30 frames=24,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_D65C,CE2=14,,idB=18,0xD65C,,,"[1409,1441)",2084,900fc974bc4b34538cae0d781d0bd7623975e298a126d7c10206a4bf68b71433,none,clip enc=1 bones-1=30 frames=26,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_DE80,CE2=14,,idB=19,0xDE80,,,"[1409,1441)",2708,2fc4ba41e78c45322882bb7c88c75f892ced8c2fcb691fd52c1509441c868514,none,clip enc=1 bones-1=30 frames=34,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_E914,CE2=14,,idB=20,0xE914,,,"[1409,1441)",1556,365799d5fdabd71c44b8d8cb4f60c1414f751d66a5108ef7c5d39e7867ddbcf9,none,clip enc=1 bones-1=30 frames=20,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_EF28,CE2=14,,idB=21,0xEF28,,,"[1409,1441)",2776,194a37c66679857b8a4ca3e8df72b3812cb5fafb2e03dbeb45c9e79b3fda1537,none,clip enc=1 bones-1=30 frames=34,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
m0005i_writera_ptr_EFBC,0xA80002C8,M0005I,t0_c18,0xEFBC,,,m0005i_chunk2+0xEFBC,1272,03f7338305ade7941ff5115bbacc5dd83481dc3cdc4058f5ea043a65617fd24c,none,Writer A payload b0=1 b1=30 b2=30,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_F4B4,0xA80002C8,M0005I,t0_c1D,0xF4B4,,,m0005i_chunk2+0xF4B4,6796,3e9d84731a161bec3f89abc0b05c2f0ad465a60f1fb7cf807f3006a9e07b5e50,none,Writer A payload b0=2 b1=30 b2=80,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_10F40,0xA80002C8,M0005I,t0_c1E,0x10F40,,,m0005i_chunk2+0x10F40,10796,85170bf01e1bd9419fd9a1d5ab91837a975cb2c3320b02792cb926cc70111832,none,Writer A payload b0=2 b1=30 b2=105,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_1396C,0xA80002C8,M0005I,t0_c1F,0x1396C,,,m0005i_chunk2+0x1396C,4716,77343a19f342efda44e564306c077ce8cf53667ae3264f460fcdf6b91c64287f,none,Writer A payload b0=2 b1=30 b2=40,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_14BD8,0xA80002C8,M0005I,t0_c20,0x14BD8,,,m0005i_chunk2+0x14BD8,1344,51e84dd712d7a9869459edd14080efec19316365fd8e15b9e15480143175660f,none,Writer A payload b0=1 b1=30 b2=22,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_15118,0xA80002C8,M0005I,t2_c02,0x15118,,,m0005i_chunk2+0x15118,3180,8314abb4cb5fe14ef3eee7f07d5964542f573cccc01ebc50ffb278cd600400b2,none,Writer A payload b0=0 b1=27 b2=60,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_15D84,0xA80002C8,M0005I,t2_c04,0x15D84,,,m0005i_chunk2+0x15D84,3060,f72c8671677ce07ed7128e07df023445ab721692bf0b4907abd5f61e1c1f5dbe,none,Writer A payload b0=1 b1=27 b2=60,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_16978,0xA80002C8,M0005I,t2_c06,0x16978,,,m0005i_chunk2+0x16978,2352,95a5c9ea40702959b122f8ff46a9dfb274f1adb69a6b661822226c3b23028412,none,Writer A payload b0=0 b1=27 b2=39,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_172A8,0xA80002C8,M0005I,t2_c07,0x172A8,,,m0005i_chunk2+0x172A8,2772,72d24929ac517e4d54008bb8d064d1040d27711e8a9f6a8ec3cf3803de78e910,none,Writer A payload b0=0 b1=27 b2=42,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_17D7C,0xA80002C8,M0005I,t2_c08,0x17D7C,,,m0005i_chunk2+0x17D7C,1092,f0d27a37d060442df5fbe7dc0f094bae646cc0829418368e09f776e8091d04e8,none,Writer A payload b0=1 b1=27 b2=12,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_181C0,0xA80002C8,M0005I,t2_c09,0x181C0,,,m0005i_chunk2+0x181C0,1396,f2f606890a087da207e78d853fedc785e4a505daaefbccd5f44242e5ea911105,none,Writer A payload b0=1 b1=27 b2=18,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_18734,0xA80002C8,M0005I,"t2_c10,t2_c13",0x18734,,,m0005i_chunk2+0x18734,6300,9a621ed919f012f99d70ebfd5dc7e8844348d1ddd5ee262e6a947d00382a2063,none,Writer A payload b0=1 b1=27 b2=108,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_19FD0,0xA80002C8,M0005I,t2_c14,0x19FD0,,,m0005i_chunk2+0x19FD0,3720,40e8b1c793d4dd69adcfff3fb83968c1ea83307dbb60f92070da441fab1df572,none,Writer A payload b0=1 b1=27 b2=60,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_1AE58,0xA80002C8,M0005I,t2_c15,0x1AE58,,,m0005i_chunk2+0x1AE58,9564,4be88f266de1bfbae5256db7dfaf153c1844f0ba5316997e4cedf6e2ff92c237,none,Writer A payload b0=1 b1=27 b2=156,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_1D3B4,0xA80002C8,M0005I,t2_c16,0x1D3B4,,,m0005i_chunk2+0x1D3B4,8180,156bf04dbc4e4e0cbbe7bf10d808a1e6b0e4ce700d3133771bba9814cfb129cd,none,Writer A payload b0=1 b1=27 b2=126,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_1F3A8,0xA80002C8,M0005I,t2_c17,0x1F3A8,,,m0005i_chunk2+0x1F3A8,3540,620acc5e9bc9b3524ca0c7018549583a418e2e70e5f42c1520da8b78217f6928,none,Writer A payload b0=1 b1=27 b2=51,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_2017C,0xA80002C8,M0005I,t5_c00,0x2017C,,,m0005i_chunk2+0x2017C,60,2246b5cf1e77b334341c4b356b0d0955ef863810c8000c69eaefb4512f4ba761,none,Writer A payload b0=1 b1=2 b2=1,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_201B8,0xA80002C8,M0005I,t5_c01,0x201B8,,,m0005i_chunk2+0x201B8,88,ef2267a10be1d80a15c1a8e5331a189b6597ac197aa17ab9a728b75035dfcd91,none,Writer A payload b0=1 b1=2 b2=30,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_20210,0xA80002C8,M0005I,t5_c02,0x20210,,,m0005i_chunk2+0x20210,60,b4fde2e5ad1067fabdca7bd9c1856c5e6608998f72b43f2ce561051b3ab1bb25,none,Writer A payload b0=1 b1=2 b2=1,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0005i_writera_ptr_2024C,0xA80002C8,M0005I,t5_c03,0x2024C,,,m0005i_chunk2+0x2024C,88,9bff1210616f4f41c7b9acc8aaae8f1c757f1f321099f06808680a9ec143002e,none,Writer A payload b0=1 b1=2 b2=30,func_8001A680 +0x1B0,func_8006B84C Writer A,PROVEN,room package clips; type-0 has no cmd 4 here
m0367i_b0e70_ptr_8,0xA80663C8,M0367I,"idB=2,3",0x8,,,m0367i_chunk2+0x8,24248,c55bd4c8c80895452ae3c6d786e4cbfa403311cee384aa87e63360231bf86015,none,"hdr+0x0C resource object b=28,30,23",func_80035038 +0x1AC,func_8006B4F8 6B804,PROVEN,not the 125E0 type-1 object; type 1 B0E70 stays empty
m0367i_b0e70_ptr_5EC0,0xA80663C8,M0367I,idB=4,0x5EC0,,,m0367i_chunk2+0x5EC0,21524,acec62834711c862d1abf5e50e1efc39ce5268ec159106487c79c811fac80b24,none,"hdr+0x0C resource object b=238,26,23",func_80035038 +0x1AC,func_8006B4F8 6B804,PROVEN,not the 125E0 type-1 object; type 1 B0E70 stays empty
